trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,23.57096000004094,24.5844563000137,24.600913299946114,up,1,0.6927580999908969,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
1,0,1,0,25.299769700039178,26.298150000046007,26.31483719998505,down,1,0.6232976000756025,-4,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
2,0,2,0,26.94718220003415,27.94569159997627,27.962770899990574,down,0,0.5878076999215409,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
3,0,3,0,28.56131669995375,29.559907700051554,29.57639579998795,up,1,0.6458276000339538,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
4,0,4,0,30.225542800035328,31.22382720001042,31.240684899967164,down,1,0.4186747999629006,-5,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
5,0,5,0,31.67307390004862,32.67265359999146,32.67265359999146,up,0,0.6661446000216529,-2,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
6,0,6,0,33.371187299955636,34.36907230003271,34.38569180003833,down,1,0.3924823999404907,2,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
7,0,7,0,34.78510760003701,35.78393599996343,35.79999970004428,down,1,0.5146914999932051,-5,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
8,0,8,0,36.31601720000617,37.3142067999579,37.33092500001658,down,1,0.45123480004258454,4,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
9,0,9,0,37.797380100004375,38.79557339998428,38.812131399987265,down,1,0.5914233000949025,1,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
10,0,10,0,39.410947200027294,40.40971339994576,40.4264335000189,up,1,0.5621399000519887,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
11,0,11,0,40.99226239998825,41.9905997000169,42.007325000013225,down,0,0.7118671999778599,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
12,0,12,0,42.72311440005433,43.7212625000393,43.738089599995874,up,1,0.5322873000986874,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
13,0,13,0,44.270239699981175,45.26893649995327,45.285612900042906,down,1,0.43230840004980564,2,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
14,0,14,0,45.71815760002937,46.716743499971926,46.733543399954215,down,1,0.42950179998297244,4,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
15,0,15,0,47.16571129998192,48.16534359997604,48.18195720005315,down,1,0.8955299999797717,-2,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
16,0,16,0,49.07968920003623,50.07814040000085,50.09465210000053,down,1,0.451378499972634,3,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
17,0,17,0,50.561022600042634,51.55917999998201,51.57571869995445,down,1,0.41767460003029555,4,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
18,0,18,0,52.00947020004969,53.00718890002463,53.023876799969,up,1,0.4187836000928655,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
19,0,19,0,53.4569900999777,54.45572570001241,54.4720471999608,down,0,0.39383889990858734,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
20,0,20,0,54.87154189997818,55.869485300034285,55.8859669000376,up,1,0.5385317000327632,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
21,0,21,0,56.43530130002182,57.434439299977385,57.45096869999543,down,0,0.41320519999135286,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
22,0,22,0,57.86709830001928,58.86485030001495,58.88107560004573,up,1,0.316845600027591,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
